school_code,udise_code,hss_code,vhse_code,name,type,level,established_year,address,pin_code,district,sub_district,education_district,assembly_constituency,parliament_constituency,latitude,longitude,is_coastal_area,is_hilly_area,principal_name,head_master_name,description,source_url,hse_start_year
45262,32101300707.0,,,T.K.M.M.U.P.S.Vaikom,Aided,1 - 7,1976.0,CHALAPPARAMBU,686141,Kottayam,Vaikom,Kaduthuruthy,Vaikom,Kottayam,9.758612,76.404796,True,True,,V S LIGIMOAL,"T.K.M.M.U.P.S.Vaikom is a Aided educational institution established in 1976. Situated in the district of Kottayam, it offers classes for levels 1 - 7. The campus spans across 213 cent and features 15 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground and an Auditorium.",https://sametham.kite.kerala.gov.in/45262,
27227,32081100409.0,,,Govt. Girls LPSPerumbavoor,Government,1 - 4,1910.0,Perumbavoor,683542,Ernakulam,Perumbavoor,Kothamangalam,Perumbavoor,Chalakudy *,10.119319,76.47350199999998,True,True,,BINDU P D,"Govt. Girls LPSPerumbavoor is a Government educational institution established in 1910. Situated in the district of Ernakulam, it offers classes for levels 1 - 4. The campus spans across 1.07 and features 20 classrooms. Students have access to excellent facilities including a Computer Lab and a Multi Media Room.",https://sametham.kite.kerala.gov.in/27227,
38738,32120302902.0,,,S.N.D.P U.P.S V -Kottayam,Aided,1 - 7,1950.0,v.kottayam,689656,Pathanamthitta,Konni,Pathanamthitta,Konni,Pathanamthitta *,9.216683,76.801643,True,True,,VASANTHAKUMARI  P.T,"S.N.D.P U.P.S V -Kottayam is a Aided educational institution established in 1950. Situated in the district of Pathanamthitta, it offers classes for levels 1 - 7. The campus spans across 1.5 and features 11 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab and a Playground.",https://sametham.kite.kerala.gov.in/38738,
22033,32071801901.0,,,L. F. C. G. H. S.OLARIKKARA,Aided,8 - 10,1977.0,PULLAZHI,680012,Thrissur,Thrissur West,Thrissur,Thrissur,Thrissur,10.519451,76.17443299999998,True,True,,Sr.JANCY CHAKKO T,"L. F. C. G. H. S.OLARIKKARA is a Aided educational institution established in 1977. Situated in the district of Thrissur, it offers classes for levels 8 - 10. The campus spans across 3 acre and features 5 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground and a Multi Media Room.",https://sametham.kite.kerala.gov.in/22033,
20041,32060300512.0,9012.0,,G. H. S. Vellinezhi,Government,5 - 12,1913.0,VELLINEZHI,679504,Palakkad,Cherpulassery,Mannarkkad,Shoranur,Palakkad,10.896728,76.346704,False,False,Sreekala C,MANIKANDHAN P,"G. H. S. Vellinezhi is a Government educational institution established in 1913. Situated in the district of Palakkad, it offers classes for levels 5 - 12. The campus spans across 6.35 and features 34 classrooms. Students have access to excellent facilities including a Computer Lab and a Playground.",https://sametham.kite.kerala.gov.in/20041,1990.0
16219,32041300105.0,,,KANNOOKKARA LPS,Aided,1 - 4,1889.0,KANNOOKKARA,673102,Kozhikode,Chombala,Vatakara,Vadakara,Vadakara,11.660076,75.566438,True,True,,BEENAKUMARI.C,"KANNOOKKARA LPS is a Aided educational institution established in 1889. Situated in the district of Kozhikode, it offers classes for levels 1 - 4. The campus spans across 0.125 and features 6 classrooms.",https://sametham.kite.kerala.gov.in/16219,
17314,32040400605.0,,,A. L. P. S.Kunnamkulangara,Aided,1 - 4,1923.0,Manakkadave,673019,Kozhikode,Kozhikode Rural,Kozhikode,Kunnamangalam,Kozhikode,11.219454,75.87142,True,True,,P M July Gopan,"A. L. P. S.Kunnamkulangara is a Aided educational institution established in 1923. Situated in the district of Kozhikode, it offers classes for levels 1 - 4. The campus spans across 13. 1/2cent and features 7 classrooms.",https://sametham.kite.kerala.gov.in/17314,
27232,32081101505.0,,,Govt. LPSValayanchirangara,Government,1 - 4,1915.0,Valayanchirangara,683556,Ernakulam,Perumbavoor,Kothamangalam,Perumbavoor,Chalakudy *,,,True,True,,USHA K A,"Govt. LPSValayanchirangara is a Government educational institution established in 1915. Situated in the district of Ernakulam, it offers classes for levels 1 - 4. The campus spans across 1acre and features 28 classrooms.",https://sametham.kite.kerala.gov.in/27232,
47316,32040601111.0,,,DUALPS ThazheKoodaranhi,Aided,1 - 4,1979.0,THAZHE KOODARANHI,673604,Kozhikode,Mukkam,Thamarassery,Thiruvambadi,Wayanad *,11.341586,76.03403,True,True,,JABIR K P,"DUALPS ThazheKoodaranhi is a Aided educational institution established in 1979. Situated in the district of Kozhikode, it offers classes for levels 1 - 4. The campus spans across 1 Acre and features 5 classrooms. Students have access to excellent facilities including a Playground and a Multi Media Room.",https://sametham.kite.kerala.gov.in/47316,
24043,32070306101.0,8187.0,,V. R. A. M. H. SThaikkad South,Aided,1 - 12,1896.0,BRAHMAKULAM,680104,Thrissur,Chavakkad,Chavakkad,Manalur,Thrissur,10.59031,76.05967099999998,False,False,Jithamol P Pullely,CHITHRA R NAIR,"V. R. A. M. H. SThaikkad South is a Aided educational institution established in 1896. Situated in the district of Thrissur, it offers classes for levels 1 - 12. The campus spans across 2.14 and features 53 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground and a Multi Media Room.",https://sametham.kite.kerala.gov.in/24043,2010.0
