school_code,position_title,sanctioned_posts
11074,Physical Education Teacher,1
11074,Senior Clerk,1
11075,Assistant Teacher (Special School),3
11075,Braillist Grd II,1
11075,Craft Teacher Grade II,1
11075,FTM,3
11075,Office Attendant,1
11201,Part-Time Mineal (BP 2700),1
11201,Teacher (L P School) Gr I,1
11202,Headmaster LP/UP (HG),1
11202,Teacher (L P School) Gr I,1
11203,Headmaster/Headmistress LP/UP,1
11204,Headmaster/Headmistress LP/UP,1
11204,L P School Assistant (Snr Gr),1
11204,Part Time Sweeper (Category II),1
11204,Teacher (L P School)(Snr Gr),1
11205,L P School Assistant (HG),1
11205,Part Time Menial(4850/8Yrs),1
11205,Teacher (LP/UP) - Arabic (Grade II),1
11206,P D Teacher (Senior Grade),1
11206,Teacher / Instructor (UP/LP) - Arabic (Grade II),1
11207,Headmaster LP/UP (HG),1
11207,L P School Assistant (HG),1
11207,Teacher (L P School) Gr II,3
11208,Headmaster/Headmistress LP/UP,1
11208,Teacher (L P School) Gr II,2
11209,Full time Arabic Teacher,1
11209,Headmaster/Headmistress LP/UP,1
11209,L P School Assistant (HG),2
11209,Teacher (L P School) Gr II,3
11210,Headmaster LP/UP,1
11210,Teacher (L P School) Gr I,1
11210,Teacher (LP/UP) - Arabic (Grade II),1
11211,Headmaster/Headmistress LP/UP,1
11211,Teacher (L P School)(Sel Gr),2
11212,Teacher (L P School) Gr II,1
11212,Teacher (L P School)(Snr Gr),1
11213,Headmaster/Headmistress LP/UP,1
11213,L P School Assistant,2
11214,Headmaster/Headmistress LP/UP,1
11214,L P School Assistant,4
11214,L P School Assistant HG,1
11215,L P School Assistant,1
11215,Part-Time Mineal (BP 2700),1
11216,Headmaster/Headmistress LP/UP,1
11216,Part Time Menial (15 Yrs HG),1
11216,Teacher (L P School) Gr II,2
11217,Headmaster LP/UP (HG),1
11217,Teacher (LP/UP) - Arabic (Grade I),1
11218,Part-Time Mineal (BP 2700),1
11218,Teacher (L P School) Gr I,1
11219,Teacher (L P School) Gr II,2
11220,Headmaster LP/UP (HG),1
11220,Part Time Menial (15 Yrs HG),1
11220,Teacher (L P School) Gr II,3
11221,Headmaster/Headmistress LP/UP,1
11221,L P School Assistant,4
11221,L P School Assistant (HG),1
11221,Part Time Sweeper(4850-7500),1
11222,P D Teacher,1
11222,Teacher (L P School) Gr II,1
11223,Part Time Menial(4850-7500),1
11223,Teacher (L P School) Gr II,1
11224,Headmaster LP/UP,1
11224,Teacher (L P School) Gr I,1
11225,Headmaster LP/UP (HG),1
11225,Teacher (L P School) Gr I,2
11226,Headmaster/Headmistress LP/UP,1
11226,Junior Arabic Teacher (Sel Gr),1
11227,Teacher (L P School) Gr I,2
11227,Teacher (LP/UP) - Arabic (Senior Grade),1
11228,Headmaster LP/UP (HG),1
11228,Junior Arabic Teacher (Snr Gr),1
11229,L P School Assistant (HG),1
11229,Teacher (LP/UP) - Arabic (Grade I),1
11230,Headmaster/Headmistress(Not Eligi HM 14620-25280),1
11230,Teacher (L P School) Gr II,1
11231,Headmaster LP/UP (HG),1
11231,L P School Assistant (Snr Gr),1
11232,Full time Arabic Teacher,1
11232,L P School Assistant,3
11233,Full time Arabic Teacher HG,1
11233,L P School Assistant (HG),1
11234,Full time Arabic Teacher HG,1
11234,L P School Assistant (Sel.Gr),1
11235,Headmaster/Headmistress LP/UP,1
11235,L P School Assistant (HG),2
11236,Teacher (L P School) Gr II,1
11236,Teacher (L P School)(Snr Gr),1
11237,Headmaster LP/UP (HG),1
11238,Headmaster LP/UP (HG),1
11238,Teacher (L P School) Gr II,1
11239,Teacher (L P School) Gr I,2
11240,Teacher (L P School) Gr II,1
11240,Teacher (LP/UP) - Arabic (Senior Grade),1
11241,Headmaster/Headmistress LP/UP,1
11241,Teacher (L P School)(Snr Gr),2
11242,Headmaster LP/UP,1
11242,Teacher (L P School) Gr I,2
11243,L P School Assistant,2
11243,L P School Assistant (Sel.Gr),1
11244,L P School Assistant,3
11247,Headmaster/Headmistress LP/UP,1
11247,L P School Assistant,1
11247,L P School Assistant (Snr Gr),1
11248,Full time Arabic Teacher HG,1
11248,Headmaster/Headmistress(Not Eligi HM 14620-25280),1
11248,L P School Assistant (HG),1
11249,Headmaster/Headmistress LP/UP,1
11249,Teacher (L P School) Gr I,2
11250,Headmaster/Headmistress LP/UP,1
11250,Teacher (L P School) Gr II,1
11250,Teacher (LP/UP) - Arabic (Senior Grade),1
11252,Junior Hindi Teacher Gr I,1
11252,Office Attendant Gr II,1
11252,Teacher (L P School) Gr I,1
11252,UP School Assistant,1
